3,3,1,0,0,2,4,4,1,4,1,4,2,1,1,2,0,0,0,1,1,3,0,4,3,3,2,1,4,0,4,4,2,3,0,2,1,4,3,3,1,1,4,3,4,4,3,2,4,2,0,3,安全感
2,0,0,1,1,2,3,3,2,3,1,1,3,2,3,0,3,4,4,4,1,0,2,3,4,4,1,3,0,0,0,3,4,1,4,2,1,3,3,2,1,1,3,4,0,2,2,1,2,1,3,2,经济报酬
3,3,1,4,2,0,3,2,0,3,4,2,0,3,0,0,4,0,0,1,0,0,2,4,2,2,3,3,1,4,2,2,0,4,4,1,3,4,2,1,2,4,3,3,2,3,1,4,0,4,4,0,独立性
3,4,3,4,4,4,0,2,4,2,3,1,4,0,2,3,4,0,0,0,3,1,4,3,1,0,0,4,4,0,4,2,4,0,0,3,2,4,4,4,1,2,4,0,0,4,0,0,2,2,0,0,美感
4,0,3,2,3,0,4,3,4,2,0,3,2,1,2,4,0,3,1,3,3,0,2,4,4,3,1,4,4,1,2,1,2,1,0,4,1,2,2,0,0,0,2,3,4,2,4,1,1,2,3,4,社会声望
1,0,3,1,2,4,3,1,1,3,4,3,2,0,0,0,4,1,0,4,4,2,1,4,2,1,4,2,1,1,4,3,4,3,4,0,1,0,1,0,2,0,2,3,1,3,0,4,1,3,3,4,安全感
1,0,3,1,3,3,3,1,0,2,2,0,1,1,4,3,0,4,2,1,4,0,4,2,2,1,0,0,3,0,2,1,1,1,3,1,3,2,0,0,2,3,3,3,0,1,3,0,3,4,1,3,利他主义
1,0,4,0,4,0,1,4,4,1,4,0,3,3,2,1,3,0,3,4,0,1,4,1,3,1,3,4,1,3,0,0,4,3,2,3,4,0,3,1,1,3,1,3,1,4,1,2,2,0,4,3,追求新意
4,1,3,4,4,2,1,3,2,0,2,1,1,2,3,2,1,1,1,0,2,4,2,2,4,2,2,0,1,4,1,1,1,0,1,1,2,4,2,2,4,0,0,3,0,1,0,4,2,0,2,3,社会交际
2,0,3,4,2,0,2,1,2,2,0,0,1,1,1,4,3,4,3,1,0,4,3,1,2,4,2,1,4,0,4,4,1,0,2,1,0,3,4,2,2,2,1,3,3,1,2,2,2,1,1,4,利他主义
4,2,0,3,0,3,2,3,3,3,2,3,3,1,4,0,0,0,1,4,4,3,2,3,1,0,3,3,3,3,1,0,4,1,1,1,1,2,4,1,4,2,1,2,3,3,0,0,0,2,4,1,社会交际
1,0,2,4,1,0,3,2,2,4,2,2,4,1,0,1,1,0,1,4,0,3,3,4,0,2,1,1,4,4,0,3,0,1,0,1,1,3,1,4,4,3,1,2,2,2,2,1,3,4,0,1,舒适
